"filename", "language", "LaTeX", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\ベクトル解析.tex", "LaTeX", 468, 0, 0, 0, 95, 563
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\メイン.log", "Log", 0, 1871, 0, 0, 72, 1943
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\メイン.tex", "LaTeX", 159, 0, 0, 144, 28, 331
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\ラプラス変換.tex", "LaTeX", 266, 0, 0, 0, 55, 321
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\偏微分法.tex", "LaTeX", 31, 0, 0, 0, 9, 40
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\力学1234.tex", "LaTeX", 460, 0, 0, 1, 95, 556
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\常微分方程式.tex", "LaTeX", 74, 0, 0, 0, 15, 89
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\Doc\電磁気学1.tex", "LaTeX", 332, 0, 0, 27, 124, 483
"c:\Users\User\Documents\TeX\MathAndPhysics_Note\README.md", "Markdown", 0, 0, 102, 0, 35, 137
"Total", "-", 1790, 1871, 102, 172, 528, 4463